n,semilla,seleccion,maximo,acierto
20000,49,19998,20000,NO
20000,50,16304,20000,NO
20000,51,19998,20000,NO
20000,52,20000,20000,SI
20000,53,19998,20000,NO
20000,54,20000,20000,SI
20000,55,2961,20000,NO
20000,56,18343,20000,NO
20000,57,1395,20000,NO
20000,58,19031,20000,NO
20000,59,20000,20000,SI
20000,60,10087,20000,NO
20000,61,16204,20000,NO
20000,62,18851,20000,NO
20000,63,19998,20000,NO
20000,64,20000,20000,SI
20000,65,13591,20000,NO
20000,66,2321,20000,NO
20000,67,2451,20000,NO
20000,68,19998,20000,NO
20000,69,20000,20000,SI
20000,70,20000,20000,SI
20000,71,20000,20000,SI
20000,72,20000,20000,SI
20000,73,9169,20000,NO
20000,74,19998,20000,NO
20000,75,14774,20000,NO
20000,76,12143,20000,NO
20000,77,20000,20000,SI
20000,78,6150,20000,NO
20000,79,4763,20000,NO
20000,80,8897,20000,NO
20000,81,16579,20000,NO
20000,82,19999,20000,NO
20000,83,16259,20000,NO
20000,84,9293,20000,NO
20000,85,6541,20000,NO
20000,86,1017,20000,NO
20000,87,4783,20000,NO
20000,88,13025,20000,NO
20000,89,2658,20000,NO
20000,90,19999,20000,NO
20000,91,20000,20000,SI
20000,92,20000,20000,SI
20000,93,16199,20000,NO
20000,94,17918,20000,NO
20000,95,17428,20000,NO
20000,96,12144,20000,NO
20000,97,20000,20000,SI
20000,98,11679,20000,NO
20000,99,13238,20000,NO
30000,0,30000,30000,SI
30000,1,4403,30000,NO
30000,2,28283,30000,NO
30000,3,7798,30000,NO
30000,4,29999,30000,NO
30000,5,20412,30000,NO
30000,6,30000,30000,SI
30000,7,30000,30000,SI
30000,8,29999,30000,NO
30000,9,15172,30000,NO
30000,10,18724,30000,NO
30000,11,14824,30000,NO
30000,12,29996,30000,NO
30000,13,29999,30000,NO
30000,14,3501,30000,NO
30000,15,6848,30000,NO
30000,16,11847,30000,NO
30000,17,30000,30000,SI
30000,18,29999,30000,NO
30000,19,22189,30000,NO
30000,20,29677,30000,NO
30000,21,5406,30000,NO
30000,22,29999,30000,NO
30000,23,25539,30000,NO
30000,24,23343,30000,NO
30000,25,30000,30000,SI
30000,26,30000,30000,SI
30000,27,29999,30000,NO
30000,28,3702,30000,NO
30000,29,30000,30000,SI
30000,30,30000,30000,SI
30000,31,30000,30000,SI
30000,32,29998,30000,NO
30000,33,18689,30000,NO
30000,34,17333,30000,NO
30000,35,17980,30000,NO
30000,36,29999,30000,NO
30000,37,22348,30000,NO
30000,38,20955,30000,NO
30000,39,30000,30000,SI
30000,40,15028,30000,NO
30000,41,30000,30000,SI
30000,42,30000,30000,SI
30000,43,1264,30000,NO
30000,44,29999,30000,NO
30000,45,29998,30000,NO
30000,46,29107,30000,NO
30000,47,11530,30000,NO
30000,48,17963,30000,NO
30000,49,2192,30000,NO
30000,50,16304,30000,NO
30000,51,30000,30000,SI
30000,52,30000,30000,SI
30000,53,20223,30000,NO
30000,54,30000,30000,SI
30000,55,30000,30000,SI
30000,56,27798,30000,NO
30000,57,1395,30000,NO
30000,58,19031,30000,NO
30000,59,30000,30000,SI
30000,60,10087,30000,NO
30000,61,30000,30000,SI
30000,62,18851,30000,NO
30000,63,14587,30000,NO
30000,64,29999,30000,NO
30000,65,13591,30000,NO
30000,66,29996,30000,NO
30000,67,30000,30000,SI
30000,68,30000,30000,SI
30000,69,29995,30000,NO
30000,70,30000,30000,SI
30000,71,10609,30000,NO
30000,72,29998,30000,NO
30000,73,9169,30000,NO
30000,74,28172,30000,NO
30000,75,30000,30000,SI
30000,76,30000,30000,SI
30000,77,26186,30000,NO
30000,78,29999,30000,NO
30000,79,30000,30000,SI
30000,80,30000,30000,SI
30000,81,16579,30000,NO
30000,82,30000,30000,SI
30000,83,30000,30000,SI
30000,84,23971,30000,NO
30000,85,29998,30000,NO
30000,86,25937,30000,NO
30000,87,4783,30000,NO
30000,88,13025,30000,NO
30000,89,29999,30000,NO
